139.9,0.031,11.8
160.5,0.049,27.8
36.75,0.011,20.750
42.68,0.015,140.6
26.72,0.01,80.5
146.4,0.034,17.150
98.69,0.024,18.5
46.91,0.015,94.4
30.24,0.01,7.100
61.86,0.013,31
64.02,0.016,31.0
44.01,0.01,16.983 
103.6,0.02,15.391
251.4,0.04,16.567
167.3,0.027,19.6
51.83,0.044,13.4
246.1,0.028,13.4
87.29,0.045,61.2
73.73,0.018,38.2
46.49,0.018,32.8
236.4,0.033,21.2
81.52,0.014,35.88
26.3,0.004,18.518
58.6,0.025,27.8
68.97,0.023,18.408 
72.57,0.015,25.6
245.5,0.051,21.031
109,0.021,39.1
183,0.014,29.7
245.6,0.032,8.675
21.05,0.004,28.411
76.23,0.037,22.5
28.75,0.007,17.050
47.99,0.021,17.1
81.82,0.021,48.0
85.91,0.015,100.4
119.5,0.053,23.8
36.04,0.019,26.3
38.82,0.012,14.675
107.5,0.025,56.2
56.9,0.015,35.775
45.7,0.03,46.175
54.71,0.012,81.3
43.64,0.009 ,2.577
66.93,0.063,44.3
18.95,0.006,22.5
29.19,0.01,24.911
38.03,0.013,18.117
34.77,0.014,18.1
114.5,0.053,63.5
88.55,0.022,81.5
